-3.9	-3.6	-3.3	-3	-2.7	-2.4	-2.1	-1.8	-1.5	-1.2	-0.9	-0.6																																																																													
0.0108	0.0114	0.011	0.0112	0.012	0.0108	0.0112	0.0108	0.0104	0.0112	0.0108	0.0128																																																																													
0.0128	0.0128	0.0128	0.013	0.0118	0.0122	0.013	0.0126	0.0128	0.0138	0.0136	0.0136																																																																													
																																																																																								
																																																																																								
																																																																																								
																																																																																								
															-0.9	0.01	0.007																																																																							
															-0.6	0.01	0.0102																																																																							
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
													4.38	4.381	4.382	4.383	4.384	4.385	4.386	4.387	4.388	4.389	4.39	4.391	4.392	4.393	4.394	4.395	4.396	4.397	4.398	4.399	4.4																																																							
													4.386	4.3864	4.3868	4.389	4.3898	4.39	4.39	4.39	4.3928	4.394	4.394	4.394	4.3954	4.397	4.398	4.3984	4.4006	4.401	4.401	4.4018	4.4036																																																							
													0.0124	0.0126	0.013	0.0124	0.0128	0.013	0.0128	0.013	0.013	0.0128	0.013	0.013	0.013	0.013	0.013	0.0134	0.0132	0.0128	0.013	0.013	0.0128																																																							
																																																																																								
																																																																																								
						4.38	4.3878	0.486		4.38	4.386	0.0124																																																																												
						4.381	4.386	0.0126		4.381	4.3864	0.0126																																																																												
						4.382	4.386	0.012		4.382	4.3868	0.013																																																																												
						4.383	4.3868	0.0124		4.383	4.389	0.0124		4.38	4.381	4.382	4.383	4.384	4.385	4.386	4.387	4.388	4.389	4.39	4.391	4.392	4.393	4.394	4.395	4.396	4.397	4.398	4.399	4.4																																																						
						4.384	4.3882	0.013		4.384	4.3898	0.0128		4.3878	4.386	4.386	4.3868	4.3882	4.39	4.39	4.39	4.3922	4.3934	4.394	4.394	4.3942	4.3968	4.3976	4.3984	4.3984	4.4008	4.401	4.4012	4.4034																																																						
						4.385	4.39	0.0128		4.385	4.39	0.013		0.486	0.0126	0.012	0.0124	0.013	0.0128	0.013	0.013	0.0128	0.013	0.013	0.0128	0.0132	0.0132	0.013	0.013	0.0132	0.013	0.0128	0.0132	0.013																																																						
						4.386	4.39	0.013		4.386	4.39	0.0128																																																																												
						4.387	4.39	0.013		4.387	4.39	0.013																																																																												
						4.388	4.3922	0.0128		4.388	4.3928	0.013																																																																												
						4.389	4.3934	0.013		4.389	4.394	0.0128																																																																												
						4.39	4.394	0.013		4.39	4.394	0.013																																																																												
						4.391	4.394	0.0128		4.391	4.394	0.013																																																																												
						4.392	4.3942	0.0132		4.392	4.3954	0.013																																																																												
						4.393	4.3968	0.0132		4.393	4.397	0.013																																																																												
						4.394	4.3976	0.013		4.394	4.398	0.013																																																																												
						4.395	4.3984	0.013		4.395	4.3984	0.0134																																																																												
						4.396	4.3984	0.0132		4.396	4.4006	0.0132																																																																												
						4.397	4.4008	0.013		4.397	4.401	0.0128																																																																												
						4.398	4.401	0.0128		4.398	4.401	0.013																4.38	4.3846	0.013																																																										
						4.399	4.4012	0.0132		4.399	4.4018	0.013																4.381	4.386	0.013																																																										
						4.4	4.4034	0.013		4.4	4.4036	0.0128																4.382	4.386	0.013																																																										
																												4.383	4.3872	0.013																																																										
																												4.384	4.387	0.0126																																																										
																												4.385	4.389	0.0122																																																										
																												4.386	4.39	0.013																																																										
																												4.387	4.39	0.013																																																										
						4.38	4.381	4.382	4.383	4.384	4.385	4.386	4.387	4.388	4.389	4.39	4.391	4.392	4.393	4.394	4.395	4.396	4.397	4.398	4.399	4.4		4.388	4.3922	0.0126																																																										
						4.3846	4.386	4.386	4.3872	4.387	4.389	4.39	4.39	4.3922	4.3936	4.394	4.394	4.3948	4.3972	4.398	4.398	4.3998	4.401	4.401	4.402	4.4046		4.389	4.3936	0.0124																																																										
						0.013	0.013	0.013	0.013	0.0126	0.0122	0.013	0.013	0.0126	0.0124	0.013	0.013	0.013	0.013	0.013	0.013	0.013	0.0128	0.013	0.013	0.0132		4.39	4.394	0.013																																																										
																												4.391	4.394	0.013																																																										
																												4.392	4.3948	0.013																																																										
																												4.393	4.3972	0.013																																																										
																												4.394	4.398	0.013																																																										
																												4.395	4.398	0.013																																																										
																												4.396	4.3998	0.013																																																										
																												4.397	4.401	0.0128																																																										
																												4.398	4.401	0.013																																																										
																												4.399	4.402	0.013																																																										
																												4.4	4.4046	0.0132																																																										
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																						4.38	4.381	4.382	4.383	4.384	4.385	4.386	4.387	4.388	4.389	4.39	4.391	4.392	4.393	4.394	4.395	4.396	4.397	4.398	4.399	4.4																																														
																						4.3834	4.386	4.386	4.387	4.3872	4.3878	4.39	4.39	4.3912	4.3928	4.394	4.394	4.3942	4.3964	4.3972	4.398	4.3984	4.401	4.401	4.4012	4.4026																																														
																						0.014	0.014	0.0136	0.0144	0.015	0.015	0.014	0.014	0.014	0.0146	0.0144	0.014	0.0144	0.0138	0.014	0.0142	0.014	0.014	0.014	0.0138	0.014																																														
																																																																4.38	4.3806	0.007		4.38	4.381	4.382	4.383	4.384	4.385	4.386	4.387	4.388	4.389	4.39	4.391	4.392	4.393	4.394	4.395	4.396	4.397	4.398	4.399	4.4
																																						4.38	4.3834	0.014																								4.381	4.383	0.0074		3.3572	3.3154	3.5588	3.6316	3.5188	3.5658	3.6044	3.5944	3.6096	3.6236	3.5346	3.5136	3.4794	3.3186	3.389	3.468	3.4622	3.5076	3.4244	3.4368	3.4756
																																						4.381	4.386	0.014		4.38	4.381	4.382	4.383	4.384	4.385	4.386	4.387	4.388	4.389	4.39	4.391	4.392	4.393	4.394	4.395	4.396	4.397	4.398	4.399	4.4		4.382	4.383	0.008		0.012	0.012	0.012	0.011	0.011	0.0118	0.0118	0.0116	0.012	0.0114	0.012	0.012	0.012	0.012	0.0128	0.012	0.012	0.012	0.012	0.012	0.0124
																																						4.382	4.386	0.0136		4.3806	4.383	4.383	4.3854	4.386	4.386	4.3874	4.3894	4.39	4.3908	4.3928	4.394	4.394	4.394	4.3958	4.398	4.398	4.4	4.401	4.401	4.4022		4.383	4.3854	0.0084																						
																																						4.383	4.387	0.0144		0.007	0.0074	0.008	0.0084	0.0088	0.009	0.009	0.0088	0.009	0.0092	0.009	0.009	0.01	0.0094	0.0098	0.01	0.0098	0.01	0.01	0.0094	0.01		4.384	4.386	0.0088																						
																																						4.384	4.3872	0.015																								4.385	4.386	0.009																						
																																						4.385	4.3878	0.015																								4.386	4.3874	0.009																						
																																						4.386	4.39	0.014																								4.387	4.3894	0.0088																						
																																						4.387	4.39	0.014																								4.388	4.39	0.009																						
																																						4.388	4.3912	0.014																								4.389	4.3908	0.0092																						
																																						4.389	4.3928	0.0146																								4.39	4.3928	0.009																						
																																						4.39	4.394	0.0144																								4.391	4.394	0.009																						
																																						4.391	4.394	0.014																								4.392	4.394	0.01																						
																																						4.392	4.3942	0.0144																								4.393	4.394	0.0094																						
																																						4.393	4.3964	0.0138																								4.394	4.3958	0.0098																						
																																						4.394	4.3972	0.014																								4.395	4.398	0.01																						
																																						4.395	4.398	0.0142																								4.396	4.398	0.0098																						
																																						4.396	4.3984	0.014																								4.397	4.4	0.01																						
																																						4.397	4.401	0.014																								4.398	4.401	0.01																						
																																						4.398	4.401	0.014																								4.399	4.401	0.0094																						
																																						4.399	4.4012	0.0138																								4.4	4.4022	0.01																						
																																						4.4	4.4026	0.014																																																
																																																																																								
																																																																																								
																																																																4.38	4.381	4.382	4.383	4.384	4.385	4.386	4.387	4.388	4.389	4.39	4.391	4.392	4.393	4.394	4.395	4.396	4.397	4.398	4.399	4.4				
																																																																4.3452	4.347	4.3476	4.349	4.3492	4.3498	4.353	4.353	4.3536	4.355	4.3566	4.357	4.3584	4.3598	4.36	4.3612	4.3632	4.364	4.3642	4.3658	4.3678				
																																																																0.0124	0.0124	0.013	0.013	0.0126	0.0124	0.0124	0.013	0.0122	0.0126	0.013	0.013	0.0128	0.013	0.0124	0.012	0.012	0.0122	0.012	0.012	0.012				
