Freq.	V(vout)
4.82134619358582e+000	(-4.27692717498683e+001dB,-9.08331827529596e+001°)
4.93252513428712e+000	(-4.25712733620202e+001dB,-9.08523950219382e+001°)
5.04626783132516e+000	(-4.23732759731108e+001dB,-9.08720502710855e+001°)
5.16263340422846e+000	(-4.21752796297364e+001dB,-9.08921587118964e+001°)
5.28168233580588e+000	(-4.19772843806664e+001dB,-9.09127307910917e+001°)
5.40347650358351e+000	(-4.17792902769453e+001dB,-9.09337771960250e+001°)
5.52807921196649e+000	(-4.15812973719976e+001dB,-9.09553088602126e+001°)
5.65555522514243e+000	(-4.13833057217399e+001dB,-9.09773369689901e+001°)
5.78597080074360e+000	(-4.11853153846965e+001dB,-9.09998729652971e+001°)
5.91939372428539e+000	(-4.09873264221211e+001dB,-9.10229285555953e+001°)
6.05589334439885e+000	(-4.07893388981241e+001dB,-9.10465157159197e+001°)
6.19554060887574e+000	(-4.05913528798057e+001dB,-9.10706466980686e+001°)
6.33840810154470e+000	(-4.03933684373953e+001dB,-9.10953340359347e+001°)
6.48457007999789e+000	(-4.01953856443976e+001dB,-9.11205905519793e+001°)
6.63410251418746e+000	(-3.99974045777451e+001dB,-9.11464293638542e+001°)
6.78708312591213e+000	(-3.97994253179575e+001dB,-9.11728638911738e+001°)
6.94359142921431e+000	(-3.96014479493097e+001dB,-9.11999078624416e+001°)
7.10370877170875e+000	(-3.94034725600065e+001dB,-9.12275753221323e+001°)
7.26751837686421e+000	(-3.92054992423653e+001dB,-9.12558806379359e+001°)
7.43510538726017e+000	(-3.90075280930085e+001dB,-9.12848385081649e+001°)
7.60655690884097e+000	(-3.88095592130638e+001dB,-9.13144639693295e+001°)
7.78196205619051e+000	(-3.86115927083742e+001dB,-9.13447724038841e+001°)
7.96141199885091e+000	(-3.84136286897177e+001dB,-9.13757795481480e+001°)
8.14500000870932e+000	(-3.82156672730373e+001dB,-9.14075015004057e+001°)
8.33282150847739e+000	(-3.80177085796818e+001dB,-9.14399547291891e+001°)
8.52497412128872e+000	(-3.78197527366574e+001dB,-9.14731560817466e+001°)
8.72155772144001e+000	(-3.76217998768917e+001dB,-9.15071227927021e+001°)
8.92267448630226e+000	(-3.74238501395091e+001dB,-9.15418724929088e+001°)
9.12842894942904e+000	(-3.72259036701199e+001dB,-9.15774232185019e+001°)
9.33892805488941e+000	(-3.70279606211222e+001dB,-9.16137934201528e+001°)
9.55428121285378e+000	(-3.68300211520181e+001dB,-9.16510019725321e+001°)
9.77460035646155e+000	(-3.66320854297446e+001dB,-9.16890681839824e+001°)
1.00000000000000e+001	(-3.64341536290202e+001dB,-9.17280118064078e+001°)
1.02305972984251e+001	(-3.62362259327065e+001dB,-9.17678530453829e+001°)
1.04665121082543e+001	(-3.60383025321884e+001dB,-9.18086125704872e+001°)
1.07078670498640e+001	(-3.58403836277700e+001dB,-9.18503115258678e+001°)
1.09547875712234e+001	(-3.56424694290904e+001dB,-9.18929715410373e+001°)
1.12074020130978e+001	(-3.54445601555585e+001dB,-9.19366147419093e+001°)
1.14658416757563e+001	(-3.52466560368071e+001dB,-9.19812637620775e+001°)
1.17302408872162e+001	(-3.50487573131693e+001dB,-9.20269417543441e+001°)
1.20007370730629e+001	(-3.48508642361762e+001dB,-9.20736724024993e+001°)
1.22774708278787e+001	(-3.46529770690782e+001dB,-9.21214799333613e+001°)
1.25605859883189e+001	(-3.44550960873903e+001dB,-9.21703891290774e+001°)
1.28502297078731e+001	(-3.42572215794623e+001dB,-9.22204253396941e+001°)
1.31465525333509e+001	(-3.40593538470765e+001dB,-9.22716144960007e+001°)
1.34497084831303e+001	(-3.38614932060716e+001dB,-9.23239831226505e+001°)
1.37598551272118e+001	(-3.36636399869973e+001dB,-9.23775583515659e+001°)
1.40771536691173e+001	(-3.34657945357978e+001dB,-9.24323679356323e+001°)
1.44017690296787e+001	(-3.32679572145273e+001dB,-9.24884402626856e+001°)
1.47338699327573e+001	(-3.30701284020995e+001dB,-9.25458043697990e+001°)
1.50736289929413e+001	(-3.28723084950707e+001dB,-9.26044899578744e+001°)
1.54212228052647e+001	(-3.26744979084594e+001dB,-9.26645274065426e+001°)
1.57768320369953e+001	(-3.24766970766046e+001dB,-9.27259477893802e+001°)
1.61406415215390e+001	(-3.22789064540628e+001dB,-9.27887828894439e+001°)
1.65128403545105e+001	(-3.20811265165471e+001dB,-9.28530652151334e+001°)
1.68936219920180e+001	(-3.18833577619092e+001dB,-9.29188280163818e+001°)
1.72831843512154e+001	(-3.16856007111674e+001dB,-9.29861053011837e+001°)
1.76817299131726e+001	(-3.14878559095817e+001dB,-9.30549318524637e+001°)
1.80894658281186e+001	(-3.12901239277784e+001dB,-9.31253432452896e+001°)
1.85066040231103e+001	(-3.10924053629267e+001dB,-9.31973758644381e+001°)
1.89333613121855e+001	(-3.08947008399698e+001dB,-9.32710669223146e+001°)
1.93699595090551e+001	(-3.06970110129123e+001dB,-9.33464544772342e+001°)
1.98166255423943e+001	(-3.04993365661673e+001dB,-9.34235774520672e+001°)
2.02735915737920e+001	(-3.03016782159650e+001dB,-9.35024756532536e+001°)
2.07410951184210e+001	(-3.01040367118268e+001dB,-9.35831897901927e+001°)
2.12193791684896e+001	(-2.99064128381064e+001dB,-9.36657614950081e+001°)
2.17086923195407e+001	(-2.97088074156020e+001dB,-9.37502333426965e+001°)
2.22092888996635e+001	(-2.95112213032431e+001dB,-9.38366488716596e+001°)
2.27214291016839e+001	(-2.93136553998532e+001dB,-9.39250526046261e+001°)
2.32453791184045e+001	(-2.91161106459952e+001dB,-9.40154900699641e+001°)
2.37814112809616e+001	(-2.89185880258993e+001dB,-9.41080078233879e+001°)
