Freq.	V(vout)
3.58472170577761e+000	1.49999351576605e+000,-3.38501028635474e-003
3.66738441987342e+000	1.49999315866811e+000,-3.46306688292630e-003
3.75195331382433e+000	1.49999278491129e+000,-3.54292338504786e-003
3.83847234362282e+000	1.49999239371847e+000,-3.62462129391479e-003
3.92698647887470e+000	1.49999198427624e+000,-3.70820306743735e-003
4.01754172617274e+000	1.49999155573327e+000,-3.79371214227911e-003
4.11018515300929e+000	1.49999110719853e+000,-3.88119295640518e-003
4.20496491224037e+000	1.49999063773938e+000,-3.97069097214899e-003
4.30193026711386e+000	1.49999014637971e+000,-4.06225269980779e-003
4.40113161687482e+000	1.49998963209786e+000,-4.15592572178107e-003
4.50262052296127e+000	1.49998909382452e+000,-4.25175871726370e-003
4.60644973580409e+000	1.49998853044049e+000,-4.34980148750720e-003
4.71267322224483e+000	1.49998794077437e+000,-4.45010498165940e-003
4.82134619358582e+000	1.49998732360010e+000,-4.55272132320028e-003
4.93252513428712e+000	1.49998667763445e+000,-4.65770383698215e-003
5.04626783132516e+000	1.49998600153434e+000,-4.76510707689147e-003
5.16263340422846e+000	1.49998529389397e+000,-4.87498685414902e-003
5.28168233580588e+000	1.49998455324203e+000,-4.98740026625216e-003
5.40347650358351e+000	1.49998377803859e+000,-5.10240572658796e-003
5.52807921196649e+000	1.49998296667182e+000,-5.22006299472479e-003
5.65555522514243e+000	1.49998211745474e+000,-5.34043320739371e-003
5.78597080074360e+000	1.49998122862170e+000,-5.46357891018522e-003
5.91939372428539e+000	1.49998029832466e+000,-5.58956408997144e-003
6.05589334439885e+000	1.49997932462936e+000,-5.71845420806981e-003
6.19554060887574e+000	1.49997830551135e+000,-5.85031623416729e-003
6.33840810154470e+000	1.49997723885175e+000,-5.98521868102109e-003
6.48457007999789e+000	1.49997612243281e+000,-6.12323163995626e-003
6.63410251418746e+000	1.49997495393337e+000,-6.26442681717046e-003
6.78708312591213e+000	1.49997373092395e+000,-6.40887757087652e-003
6.94359142921431e+000	1.49997245086181e+000,-6.55665894928641e-003
7.10370877170875e+000	1.49997111108557e+000,-6.70784772946943e-003
7.26751837686421e+000	1.49996970880970e+000,-6.86252245709766e-003
7.43510538726017e+000	1.49996824111897e+000,-7.02076348709556e-003
7.60655690884097e+000	1.49996670496158e+000,-7.18265302522115e-003
7.78196205619051e+000	1.49996509714396e+000,-7.34827517059538e-003
7.96141199885091e+000	1.49996341432341e+000,-7.51771595920128e-003
8.14500000870932e+000	1.49996165300129e+000,-7.69106340837430e-003
