Freq.	V(vout)
8.14500000870932e+000	(3.52171730668146e+000dB,-2.93781918060044e-001°)
8.33282150847739e+000	(3.52171195810175e+000dB,-3.00556326081924e-001°)
8.52497412128872e+000	(3.52170636001134e+000dB,-3.07486941370691e-001°)
8.72155772144001e+000	(3.52170050077097e+000dB,-3.14577365404210e-001°)
8.92267448630226e+000	(3.52169436819844e+000dB,-3.21831282665602e-001°)
9.12842894942904e+000	(3.52168794954322e+000dB,-3.29252462554257e-001°)
9.33892805488941e+000	(3.52168123146009e+000dB,-3.36844761340596e-001°)
9.55428121285378e+000	(3.52167419998142e+000dB,-3.44612124165738e-001°)
9.77460035646155e+000	(3.52166684048794e+000dB,-3.52558587087077e-001°)
1.00000000000000e+001	(3.52165913767853e+000dB,-3.60688279170667e-001°)
1.02305972984251e+001	(3.52165107553838e+000dB,-3.69005424631617e-001°)
1.04665121082543e+001	(3.52164263730563e+000dB,-3.77514345023533e-001°)
1.07078670498640e+001	(3.52163380543671e+000dB,-3.86219461478049e-001°)
1.09547875712234e+001	(3.52162456156964e+000dB,-3.95125296995839e-001°)
1.12074020130978e+001	(3.52161488648604e+000dB,-4.04236478789805e-001°)
1.14658416757563e+001	(3.52160476007116e+000dB,-4.13557740682110e-001°)
1.17302408872162e+001	(3.52159416127206e+000dB,-4.23093925555958e-001°)
1.20007370730629e+001	(3.52158306805385e+000dB,-4.32849987863456e-001°)
1.22774708278787e+001	(3.52157145735392e+000dB,-4.42830996190824e-001°)
1.25605859883189e+001	(3.52155930503401e+000dB,-4.53042135882220e-001°)
1.28502297078731e+001	(3.52154658583215e+000dB,-4.63488711723415e-001°)
1.31465525333509e+001	(3.52153327330192e+000dB,-4.74176150686960e-001°)
1.34497084831303e+001	(3.52151933976967e+000dB,-4.85110004739779e-001°)
1.37598551272118e+001	(3.52150475626922e+000dB,-4.96295953714773e-001°)
1.40771536691173e+001	(3.52148949248322e+000dB,-5.07739808248243e-001°)
1.44017690296787e+001	(3.52147351668060e+000dB,-5.19447512783728e-001°)
1.47338699327573e+001	(3.52145679565037e+000dB,-5.31425148644741e-001°)
1.50736289929413e+001	(3.52143929463283e+000dB,-5.43678937177026e-001°)
1.54212228052647e+001	(3.52142097724712e+000dB,-5.56215242962712e-001°)
1.57768320369953e+001	(3.52140180541597e+000dB,-5.69040577107012e-001°)
1.61406415215390e+001	(3.52138173928637e+000dB,-5.82161600600042e-001°)
1.65128403545105e+001	(3.52136073714677e+000dB,-5.95585127754846e-001°)
1.68936219920180e+001	(3.52133875534075e+000dB,-6.09318129722994e-001°)
1.72831843512154e+001	(3.52131574817600e+000dB,-6.23367738090585e-001°)
