,,,,,,,,,,,,Frequency,vm(vout),ph(v(vout))
Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (deg),,,,,Frequency,vm(vout),ph(v(vout)),,Hz,Volts,deg
10.47128548,0.10026514,0.149957928,-0.381110998,,,,,,,,,10.47128548,0.149957928,-0.381110998
10.71519305,0.10028709,0.149928731,-0.378845896,,,,,,,,,10.71519305,0.149928731,-0.378845896
10.96478196,0.100257404,0.149969441,-0.389268147,,,,,,,,,10.96478196,0.149969441,-0.389268147
11.22018454,0.100284601,0.149917019,-0.405770487,,,,,,,,,11.22018454,0.149917019,-0.405770487
11.48153621,0.100275677,0.149925882,-0.399420842,,,,,,,,,11.48153621,0.149925882,-0.399420842
11.74897555,0.10026603,0.149953242,-0.420819849,,,,,,,,,11.74897555,0.149953242,-0.420819849
12.02264435,0.100252386,0.149982751,-0.448757157,,,,,,,,,12.02264435,0.149982751,-0.448757157
12.30268771,0.100281898,0.149932812,-0.43709451,,,,,,,,,12.30268771,0.149932812,-0.43709451
12.58925412,0.10027621,0.149941547,-0.4641221,,,,,,,,,12.58925412,0.149941547,-0.4641221
12.88249552,0.100288211,0.14992607,-0.462438484,,,,,,,,,12.88249552,0.14992607,-0.462438484
13.18256739,0.100246836,0.149983808,-0.485158306,,,,,,,,,13.18256739,0.149983808,-0.485158306
13.48962883,0.100266799,0.149964045,-0.474146911,,,,,,,,,13.48962883,0.149964045,-0.474146911
13.80384265,0.100269713,0.149941633,-0.49178491,,,,,,,,,13.80384265,0.149941633,-0.49178491
14.12537545,0.100254462,0.149967278,-0.503147252,,,,,,,,,14.12537545,0.149967278,-0.503147252
14.45439771,0.100263822,0.149951406,-0.522675064,,,,,,,,,14.45439771,0.149951406,-0.522675064
14.79108388,0.100286044,0.14992438,-0.52901086,,,,,,,,,14.79108388,0.14992438,-0.52901086
15.13561248,0.10025155,0.149982394,-0.538802805,,,,,,,,,15.13561248,0.149982394,-0.538802805
15.48816619,0.100237234,0.149978856,-0.549318674,,,,,,,,,15.48816619,0.149978856,-0.549318674
15.84893192,0.100295353,0.149917618,-0.576668209,,,,,,,,,15.84893192,0.149917618,-0.576668209
16.21810097,0.100259197,0.149948076,-0.579084027,,,,,,,,,16.21810097,0.149948076,-0.579084027
16.59586907,0.100285472,0.149921747,-0.612191437,,,,,,,,,16.59586907,0.149921747,-0.612191437
16.98243652,0.100275493,0.14994888,-0.624930487,,,,,,,,,16.98243652,0.14994888,-0.624930487
17.37800829,0.100253785,0.149977076,-0.624259525,,,,,,,,,17.37800829,0.149977076,-0.624259525
