time	V(vo)
3.329527333254793e-005	1.356990e+000
3.376906929275861e-005	1.324258e+000
3.471666121317996e-005	1.260005e+000
3.661184505402267e-005	1.135128e+000
3.869592167027150e-005	1.003147e+000
4.082917425871869e-005	8.742550e-001
4.325220135342493e-005	7.327823e-001
4.342618362922821e-005	7.227200e-001
4.377414818083477e-005	7.022903e-001
4.447007728404791e-005	6.597093e-001
4.488903471222094e-005	6.323004e-001
4.494950429506949e-005	6.278866e-001
4.507044346076658e-005	6.178219e-001
4.522379556882664e-005	6.035063e-001
4.525111538625147e-005	6.004760e-001
4.530575502110112e-005	5.929148e-001
4.538180574714156e-005	5.790712e-001
4.543803059422149e-005	5.637296e-001
4.548162078545083e-005	5.445225e-001
4.552188276814136e-005	5.165619e-001
4.556427310407093e-005	4.817340e-001
4.558853165508408e-005	4.770976e-001
4.559991421385202e-005	5.019938e-001
4.560716531518346e-005	5.501981e-001
4.561581634401388e-005	6.507079e-001
4.562556177912970e-005	7.979900e-001
4.563585652151650e-005	9.593202e-001
4.564764787882562e-005	1.114402e+000
4.565771146104522e-005	1.206519e+000
4.566834870404835e-005	1.270202e+000
4.568022022788141e-005	1.328089e+000
4.569304825704737e-005	1.390255e+000
4.569859075326298e-005	1.414636e+000
4.570448967071823e-005	1.434206e+000
4.570995005405459e-005	1.446714e+000
4.571560497807907e-005	1.455589e+000
4.572198433502961e-005	1.462597e+000
4.572961389563830e-005	1.468357e+000
4.573953813978565e-005	1.473286e+000
4.575067416227408e-005	1.476626e+000
4.576603004645800e-005	1.479033e+000
4.578154296834828e-005	1.479916e+000
4.580337501382034e-005	1.479635e+000
4.582344431331203e-005	1.478463e+000
4.584603724564476e-005	1.476405e+000
4.587053425110388e-005	1.473640e+000
4.590290953256918e-005	1.469524e+000
4.593423019306583e-005	1.465329e+000
4.598404933859345e-005	1.458649e+000
4.602950300182224e-005	1.452885e+000
4.611104498492396e-005	1.443470e+000
4.618477921326949e-005	1.435997e+000
4.632484247454606e-005	1.423690e+000
4.646451153192199e-005	1.412737e+000
4.672196098883099e-005	1.394031e+000
4.696811281839000e-005	1.376666e+000
4.741943472165607e-005	1.345284e+000
4.808587909701630e-005	1.299556e+000
4.941876784773676e-005	1.210497e+000
5.208454534917768e-005	1.038911e+000
5.421494581462583e-005	9.080877e-001
5.643294809483839e-005	7.763147e-001
5.878498409964349e-005	6.363033e-001
5.884651190016649e-005	6.319965e-001
5.892854896753050e-005	6.256803e-001
5.909262310225852e-005	6.115435e-001
5.920398638920320e-005	6.004380e-001
5.923182721093936e-005	5.970386e-001
5.928750885441170e-005	5.885422e-001
5.934825804640238e-005	5.762264e-001
5.939826849091279e-005	5.610992e-001
5.944035530281672e-005	5.408651e-001
5.948093705274128e-005	5.113589e-001
5.952506414739175e-005	4.762900e-001
5.954312386416104e-005	4.781747e-001
5.955299740817573e-005	5.060027e-001
5.956018789900825e-005	5.596086e-001
5.956978605417100e-005	6.780492e-001
5.957985687367989e-005	8.327318e-001
5.959152747002174e-005	1.008966e+000
5.960373718334827e-005	1.153740e+000
5.961365167710007e-005	1.231531e+000
5.962476026419970e-005	1.290787e+000
5.963659903084482e-005	1.347560e+000
5.964575157561675e-005	1.392130e+000
5.965099624251682e-005	1.414731e+000
5.965760706047020e-005	1.435614e+000
5.966364484462545e-005	1.448478e+000
5.967006278148792e-005	1.457605e+000
5.967620360167774e-005	1.463618e+000
5.968486754669490e-005	1.469339e+000
5.969509727416515e-005	1.473709e+000
5.970766699277881e-005	1.476820e+000
5.972274367848118e-005	1.478635e+000
5.974046507053216e-005	1.479196e+000
5.976128774203622e-005	1.478587e+000
5.978405493157788e-005	1.476961e+000
5.980962498453754e-005	1.474393e+000
5.983526903182970e-005	1.471336e+000
5.986176697284203e-005	1.467886e+000
5.988647182807465e-005	1.464548e+000
5.991386075865047e-005	1.460831e+000
5.994158484579598e-005	1.457155e+000
5.998543705659317e-005	1.451597e+000
6.003127074394588e-005	1.446202e+000
6.010443246730571e-005	1.438377e+000
6.017308654518128e-005	1.431806e+000
6.028509990934371e-005	1.422209e+000
6.038918030824095e-005	1.414048e+000
6.056948292461501e-005	1.400783e+000
6.073538835863529e-005	1.388957e+000
6.104805814834553e-005	1.367037e+000
6.136387309751578e-005	1.345092e+000
6.199550299585629e-005	1.301753e+000
6.325876279253732e-005	1.217174e+000
6.578528238589937e-005	1.053931e+000
6.786553439487429e-005	9.255347e-001
7.007085800710998e-005	7.951401e-001
7.161183042828261e-005	7.058799e-001
7.173924052084995e-005	6.984540e-001
7.199406070598465e-005	6.831579e-001
7.250370107625402e-005	6.510485e-001
7.282159530323286e-005	6.295445e-001
7.287607412070782e-005	6.254392e-001
7.298503175565774e-005	6.160467e-001
7.313483164904112e-005	6.008671e-001
7.321395236312611e-005	5.905522e-001
7.326977971055110e-005	5.804747e-001
7.331902791841604e-005	5.677024e-001
7.336017929279216e-005	5.514672e-001
7.340003841243602e-005	5.268785e-001
7.344121048436440e-005	5.043879e-001
7.348723365026012e-005	5.232469e-001
7.350083047926691e-005	5.749878e-001
7.350887507796268e-005	6.494624e-001
7.352148800836769e-005	8.117471e-001
7.353508814876138e-005	9.839111e-001
7.354930503239963e-005	1.122427e+000
7.356030478082464e-005	1.192268e+000
7.357279794858258e-005	1.250359e+000
7.358578979471876e-005	1.309308e+000
7.359234647508386e-005	1.338425e+000
7.359778650306239e-005	1.358169e+000
7.360485463415165e-005	1.376364e+000
7.360994907680100e-005	1.385343e+000
7.361690602065060e-005	1.393699e+000
7.362378666199941e-005	1.399474e+000
7.363405133770365e-005	1.405195e+000
7.364458111809921e-005	1.408883e+000
7.365963456742246e-005	1.411788e+000
7.367511390148826e-005	1.413105e+000
7.369638726163318e-005	1.413286e+000
7.371724608535291e-005	1.412433e+000
7.374199488525327e-005	1.410569e+000
7.376779751330224e-005	1.408054e+000
7.379956309086059e-005	1.404511e+000
7.382830671452471e-005	1.401103e+000
7.386826356294085e-005	1.396296e+000
7.390922202434532e-005	1.391505e+000
7.397298228388912e-005	1.384474e+000
7.403138271414860e-005	1.378591e+000
7.412676042726338e-005	1.369949e+000
7.422508717004756e-005	1.361912e+000
7.440015744839608e-005	1.348793e+000
7.458239477518704e-005	1.335824e+000
7.490488034947228e-005	1.313491e+000
7.527259805110142e-005	1.288337e+000
7.600803345435971e-005	1.238796e+000
7.745809555923497e-005	1.143646e+000
7.976773690992700e-005	9.977754e-001
8.201933708085116e-005	8.619077e-001
8.442485159325313e-005	7.213146e-001
8.520242054996328e-005	6.757734e-001
8.528430378854000e-005	6.708236e-001
8.544807026569344e-005	6.604620e-001
8.577560322000032e-005	6.385243e-001
8.598069497903617e-005	6.236557e-001
8.603196791879513e-005	6.194795e-001
8.613451379831306e-005	6.098738e-001
8.624791929405065e-005	5.972421e-001
8.631327872250113e-005	5.876740e-001
8.637201400122567e-005	5.757147e-001
8.641452928914968e-005	5.630309e-001
8.645391548333708e-005	5.449627e-001
8.649364524441291e-005	5.171099e-001
8.653599100835411e-005	4.823692e-001
8.656047813103934e-005	4.779314e-001
8.657189112078800e-005	5.032725e-001
8.657913158954186e-005	5.518969e-001
8.658782406105001e-005	6.535057e-001
8.659758012985701e-005	8.012466e-001
8.660795770226575e-005	9.635301e-001
8.661975861960781e-005	1.117698e+000
8.662979902023291e-005	1.208657e+000
8.664046167898362e-005	1.271936e+000
8.665231801613905e-005	1.329637e+000
8.666521522291779e-005	1.392059e+000
8.667075745864371e-005	1.416162e+000
8.667681756658985e-005	1.435820e+000
8.668214649165596e-005	1.447743e+000
8.668768753968499e-005	1.456244e+000
8.669421942584470e-005	1.463284e+000
8.670190280682323e-005	1.469004e+000
8.671133069660163e-005	1.473626e+000
8.672277546588479e-005	1.477013e+000
8.673827984640691e-005	1.479419e+000
8.675371462921631e-005	1.480271e+000
8.677573749446785e-005	1.479960e+000
8.679570776785561e-005	1.478779e+000
8.681848097918764e-005	1.476692e+000
8.684272922676017e-005	1.473944e+000
8.687711241382809e-005	1.469558e+000
