Freq.	V(vo)	V(vo1)	V(vo2)	Ib(Q3)
2.43298042003741e+002	(2.34392883333938e+001dB,1.77747605283099e+002°)	(-4.66051723960553e+001dB,-1.19027037959118e+000°)	(2.34396713088091e+001dB,1.77747776020388e+002°)	(-1.52230239364492e+002dB,4.62331338295731e-002°)
2.48908429123558e+002	(2.34389760676583e+001dB,1.77695720849870e+002°)	(-4.66054147589102e+001dB,-1.21766835502101e+000°)	(2.34393590430792e+001dB,1.77695895524315e+002°)	(-1.52230239200006e+002dB,4.72992484967047e-002°)
2.54648190254671e+002	(2.34386492583561e+001dB,1.77642643876462e+002°)	(-4.66056684046263e+001dB,-1.24569463308344e+000°)	(2.34390322337829e+001dB,1.77642822578853e+002°)	(-1.52230239027864e+002dB,4.83899468647644e-002°)
2.60520308726827e+002	(2.34383072294167e+001dB,1.77588347138689e+002°)	(-4.66059338597678e+001dB,-1.27436345573485e+000°)	(2.34386902048496e+001dB,1.77588529961909e+002°)	(-1.52230238847622e+002dB,4.95057957431327e-002°)
2.66527836664555e+002	(2.34379492732226e+001dB,1.77532802804068e+002°)	(-4.66062116704771e+001dB,-1.30368937656420e+000°)	(2.34383322486619e+001dB,1.77532989843141e+002°)	(-1.52230238659007e+002dB,5.06473750804907e-002°)
2.72673896573548e+002	(2.34375746494927e+001dB,1.77475982419069e+002°)	(-4.66065024105053e+001dB,-1.33368726591226e+000°)	(2.34379576249387e+001dB,1.77476173771212e+002°)	(-1.52230238461589e+002dB,5.18152781708557e-002°)
2.78961682963638e+002	(2.34371825837327e+001dB,1.77417856896268e+002°)	(-4.66068066812598e+001dB,-1.36437231699555e+000°)	(2.34375655591858e+001dB,1.77418052660940e+002°)	(-1.52230238254933e+002dB,5.30101119722706e-002°)
2.85394464009191e+002	(2.34367722582995e+001dB,1.77358396502459e+002°)	(-4.66071250312826e+001dB,-1.39576006283297e+000°)	(2.34371552371279e+001dB,1.77358596781412e+002°)	(-1.52230238038698e+002dB,5.42324974184428e-002°)
2.91975583247790e+002	(2.34363428398285e+001dB,1.77297570840880e+002°)	(-4.66074582773154e+001dB,-1.42786633999295e+000°)	(2.34367258186646e+001dB,1.77297775738211e+002°)	(-1.52230237812448e+002dB,5.54830697876945e-002°)
2.98708461318093e+002	(2.34358934339086e+001dB,1.77235348844532e+002°)	(-4.66078070259274e+001dB,-1.46070735791047e+000°)	(2.34362764127528e+001dB,1.77235558466739e+002°)	(-1.52230237575455e+002dB,5.67624790193737e-002°)
3.05596597737760e+002	(2.34354231124437e+001dB,1.77171698758061e+002°)	(-4.66081719963524e+001dB,-1.49429966293776e+000°)	(2.34358060912963e+001dB,1.77171913214100e+002°)	(-1.52230237327567e+002dB,5.80713899845829e-002°)
3.12643572722382e+002	(2.34349309045135e+001dB,1.77106588125068e+002°)	(-4.66085539424136e+001dB,-1.52866015485890e+000°)	(2.34353138833749e+001dB,1.77106807526405e+002°)	(-1.52230237068195e+002dB,5.94104829305168e-002°)
3.19853049046357e+002	(2.34344157942115e+001dB,1.77039983774196e+002°)	(-4.66089536496032e+001dB,-1.56380609374192e+000°)	(2.34347987730821e+001dB,1.77040208234869e+002°)	(-1.52230236796635e+002dB,6.07804537606538e-002°)
3.27228773946669e+002	(2.34338767187882e+001dB,1.76971851804930e+002°)	(-4.66093719408119e+001dB,-1.59975510554727e+000°)	(2.34342596976686e+001dB,1.76972081441605e+002°)	(-1.52230236512375e+002dB,6.21820144113028e-002°)
3.34774581070574e+002	(2.34333125665008e+001dB,1.76902157573290e+002°)	(-4.66098096776976e+001dB,-1.63652518835568e+000°)	(2.34336955453913e+001dB,1.76902392505325e+002°)	(-1.52230236214910e+002dB,6.36158932458187e-002°)
3.42494392468201e+002	(2.34327221743483e+001dB,1.76830865677378e+002°)	(-4.66102677618562e+001dB,-1.67413471863425e+000°)	(2.34331051532494e+001dB,1.76831106026881e+002°)	(-1.52230235903638e+002dB,6.50828354140381e-002°)
3.50392220631091e+002	(2.34321043256312e+001dB,1.76757939942805e+002°)	(-4.66107471344065e+001dB,-1.71260245776670e+000°)	(2.34324873045433e+001dB,1.76758185834702e+002°)	(-1.52230235577852e+002dB,6.65836032500373e-002°)
3.58472170577761e+002	(2.34314577476552e+001dB,1.76683343407897e+002°)	(-4.66112487809079e+001dB,-1.75194755770152e+000°)	(2.34318407265790e+001dB,1.76683594969995e+002°)	(-1.52230235236795e+002dB,6.81189766240544e-002°)
3.66738441987342e+002	(2.34307811091203e+001dB,1.76607038308843e+002°)	(-4.66117737319344e+001dB,-1.79218956725669e+000°)	(2.34311640880562e+001dB,1.76607295671894e+002°)	(-1.52230234879900e+002dB,6.96897534328175e-002°)
3.75195331382433e+002	(2.34300730174517e+001dB,1.76528986064708e+002°)	(-4.66123230648368e+001dB,-1.83334843819442e+000°)	(2.34304559964004e+001dB,1.76529249362482e+002°)	(-1.52230234506425e+002dB,7.12967499292011e-002°)
3.83847234362282e+002	(2.34293320160873e+001dB,1.76449147262316e+002°)	(-4.66128979075477e+001dB,-1.87544453087349e+000°)	(2.34297149950492e+001dB,1.76449416631665e+002°)	(-1.52230234115488e+002dB,7.29408012032138e-002°)
3.92698647887470e+002	(2.34285565814967e+001dB,1.76367481641105e+002°)	(-4.66134994385706e+001dB,-1.91849862049093e+000°)	(2.34289395604726e+001dB,1.76367757222038e+002°)	(-1.52230233706374e+002dB,7.46227615418962e-002°)
4.01754172617274e+002	(2.34277451129717e+001dB,1.76283948079436e+002°)	(-4.66141288114776e+001dB,-1.96253191743345e+000°)	(2.34281280953301e+001dB,1.76284230015190e+002°)	(-1.52230233278158e+002dB,7.63435050069132e-002°)
4.11018515300929e+002	(2.34268959584387e+001dB,1.76198504572956e+002°)	(-4.66147874753371e+001dB,-2.00756601357600e+000°)	(2.34272789408123e+001dB,1.76198793010073e+002°)	(-1.52230232830054e+002dB,7.81039257044523e-002°)
4.20496491224037e+002	(2.34260073675276e+001dB,1.76111108228773e+002°)	(-4.66154766960560e+001dB,-2.05362297699600e+000°)	(2.34263903499173e+001dB,1.76111403317171e+002°)	(-1.52230232361067e+002dB,7.99049384316239e-002°)
4.30193026711386e+002	(2.34250775175524e+001dB,1.76021715243638e+002°)	(-4.66161978867096e+001dB,-2.10072529672454e+000°)	(2.34254604999588e+001dB,1.76022017136694e+002°)	(-1.52230231870242e+002dB,8.17474790046759e-002°)
4.40113161687482e+002	(2.34241045020615e+001dB,1.75930280890415e+002°)	(-4.66169525177935e+001dB,-2.14889590498537e+000°)	(2.34244874844855e+001dB,1.75930589745043e+002°)	(-1.52230231356510e+002dB,8.36325048579212e-002°)
4.50262052296127e+002	(2.34230863277242e+001dB,1.75836759502478e+002°)	(-4.66177421330584e+001dB,-2.19815817943458e+000°)	(2.34234693101664e+001dB,1.75837075479210e+002°)	(-1.52230230818948e+002dB,8.55609954602985e-002°)
4.60644973580410e+002	(2.34220209098549e+001dB,1.75741104458704e+002°)	(-4.66185683406149e+001dB,-2.24853595022225e+000°)	(2.34224038923163e+001dB,1.75741427721773e+002°)	(-1.52230230256339e+002dB,8.75339528584429e-002°)
4.71267322224483e+002	(2.34209060689295e+001dB,1.75643268168012e+002°)	(-4.66194328281865e+001dB,-2.30005350173150e+000°)	(2.34212890514110e+001dB,1.75643598885439e+002°)	(-1.52230229667500e+002dB,8.95524021513788e-002°)
4.82134619358582e+002	(2.34197395183977e+001dB,1.75543202056546e+002°)	(-4.66203372719470e+001dB,-2.35273559774217e+000°)	(2.34201225042681e+001dB,1.75543540400228e+002°)	(-1.52230229051242e+002dB,9.16173921736163e-002°)
4.93252513428712e+002	(2.34185188900398e+001dB,1.75440856544775e+002°)	(-4.66212836754756e+001dB,-2.40660741001160e+000°)	(2.34189018759322e+001dB,1.75441202690569e+002°)	(-1.52230228406340e+002dB,9.37299957722706e-002°)
5.04626783132516e+002	(2.34172416852381e+001dB,1.75336181044410e+002°)	(-4.66222738811860e+001dB,-2.46169463106707e+000°)	(2.34176246711535e+001dB,1.75336535172233e+002°)	(-1.52230227731461e+002dB,9.58913106066641e-002°)
5.16263340422846e+002	(2.34159052994262e+001dB,1.75229123936270e+002°)	(-4.66233098985244e+001dB,-2.51802340524295e+000°)	(2.34162882853657e+001dB,1.75229486230184e+002°)	(-1.52230227025072e+002dB,9.81024596471748e-002°)
5.28168233580588e+002	(2.34145070099390e+001dB,1.75119632557856e+002°)	(-4.66243938299305e+001dB,-2.57562034811384e+000°)	(2.34148899959037e+001dB,1.75120003206169e+002°)	(-1.52230226285857e+002dB,1.00364591638209e-001°)
5.40347650358352e+002	(2.34130439705751e+001dB,1.75007653189560e+002°)	(-4.66255278700943e+001dB,-2.63451254949937e+000°)	(2.34134269565662e+001dB,1.75008032384922e+002°)	(-1.52230225512349e+002dB,1.02678881887794e-001°)
5.52807921196649e+002	(2.34115131991076e+001dB,1.74893131043213e+002°)	(-4.66267142336317e+001dB,-2.69472759453793e+000°)	(2.34118961884943e+001dB,1.74893518982716e+002°)	(-1.52230224702784e+002dB,1.05046532713090e-001°)
