Freq.	V(vo)	V(vo1)	V(vo2)	Ib(Q3)
2.32453791184044e+002	-1.48486563694553e+001,5.57995611711329e-001	4.67388969894114e-003,-9.27874830739323e-005	-1.48493126746718e+001,5.57977937635767e-001	2.44617705014502e-008,1.88589211993517e-011
2.37814112809615e+002	-1.48476806313682e+001,5.70825367228691e-001	4.67372774317858e-003,-9.49209175991526e-005	-1.48483369675754e+001,5.70807286783923e-001	2.44617705853539e-008,1.92937997591524e-011
2.43298042003741e+002	-1.48466595112461e+001,5.83948326285141e-001	4.67355825392375e-003,-9.71031091341266e-005	-1.48473158798854e+001,5.83929830184481e-001	2.44617706732789e-008,1.97387062767551e-011
2.48908429123558e+002	-1.48455909048585e+001,5.97371063327943e-001	4.67338088293486e-003,-9.93351510453845e-005	-1.48462473074381e+001,5.97352142076490e-001	2.44617707649986e-008,2.01938719876309e-011
2.54648190254671e+002	-1.48444726111952e+001,6.11100291278954e-001	4.67319526513073e-003,-1.01618159703593e-004	-1.48451290492933e+001,6.11080935169204e-001	2.44617708609475e-008,2.06595334539386e-011
2.60520308726827e+002	-1.48433023281490e+001,6.25142863815642e-001	4.67300101710767e-003,-1.03953274827580e-004	-1.48439588034168e+001,6.25123062923033e-001	2.44617709615683e-008,2.11359326706601e-011
2.66527836664555e+002	-1.48420776473221e+001,6.39505777582688e-001	4.67279774039363e-003,-1.06341660022537e-004	-1.48427341614873e+001,6.39485521761074e-001	2.44617710667829e-008,2.16233172421477e-011
2.72673896573548e+002	-1.48407960497787e+001,6.54196174481076e-001	4.67258501693019e-003,-1.08784503005413e-004	-1.48414526046491e+001,6.54175453358129e-001	2.44617711769192e-008,2.21219404708833e-011
2.78961682963638e+002	-1.48394549009615e+001,6.69221343885749e-001	4.67236240884035e-003,-1.11283015995921e-004	-1.48401114984285e+001,6.69200146858287e-001	2.44617712922715e-008,2.26320614931834e-011
2.85394464009191e+002	-1.48380514328988e+001,6.84588723960644e-001	4.67212950150434e-003,-1.13838438038528e-004	-1.48387080806945e+001,6.84567040455381e-001	2.44617714128331e-008,2.31539454120041e-011
2.91975583247790e+002	-1.48365827883608e+001,7.00305907271817e-001	4.67188573071692e-003,-1.16452027743164e-004	-1.48372394828020e+001,7.00283725950197e-001	2.44617715388149e-008,2.36878634549408e-011
2.98708461318093e+002	-1.48350459407488e+001,7.16380637764740e-001	4.67163063965274e-003,-1.19125075007906e-004	-1.48357026840017e+001,7.16357947302465e-001	2.44617716712019e-008,2.42340931099026e-011
