Freq.	V(vout)
1.09547875712234e+002	(5.87424760853232e+000dB,-1.33309381486898e+001°)
1.12074020130979e+002	(5.86751667916586e+000dB,-1.36334494660115e+001°)
1.14658416757563e+002	(5.86048077635738e+000dB,-1.39425986132257e+001°)
1.17302408872162e+002	(5.85312650687966e+000dB,-1.42585157406701e+001°)
1.20007370730630e+002	(5.84543992834333e+000dB,-1.45813324946535e+001°)
1.22774708278788e+002	(5.83740653023567e+000dB,-1.49111819586952e+001°)
1.25605859883189e+002	(5.82901121464456e+000dB,-1.52481985882632e+001°)
1.28502297078732e+002	(5.82023827667816e+000dB,-1.55925181386728e+001°)
1.31465525333509e+002	(5.81107138462928e+000dB,-1.59442775857700e+001°)
1.34497084831303e+002	(5.80149355990157e+000dB,-1.63036150390388e+001°)
1.37598551272118e+002	(5.79148715675499e+000dB,-1.66706696467405e+001°)
1.40771536691174e+002	(5.78103384191426e+000dB,-1.70455814927199e+001°)
1.44017690296787e+002	(5.77011457408052e+000dB,-1.74284914844927e+001°)
1.47338699327573e+002	(5.75870958341735e+000dB,-1.78195412322258e+001°)
1.50736289929413e+002	(5.74679835106931e+000dB,-1.82188729182469e+001°)
1.54212228052648e+002	(5.73435958878024e+000dB,-1.86266291566999e+001°)
1.57768320369953e+002	(5.72137121869217e+000dB,-1.90429528429899e+001°)
1.61406415215391e+002	(5.70781035339781e+000dB,-1.94679869926739e+001°)
1.65128403545105e+002	(5.69365327635793e+000dB,-1.99018745694433e+001°)
1.68936219920180e+002	(5.67887542275352e+000dB,-2.03447583019149e+001°)
1.72831843512154e+002	(5.66345136089823e+000dB,-2.07967804889145e+001°)
1.76817299131727e+002	(5.64735477431797e+000dB,-2.12580827930113e+001°)
1.80894658281187e+002	(5.63055844461108e+000dB,-2.17288060220830e+001°)
1.85066040231104e+002	(5.61303423523000e+000dB,-2.22090898987071e+001°)
1.89333613121856e+002	(5.59475307630547e+000dB,-2.26990728172737e+001°)
1.93699595090552e+002	(5.57568495067189e+000dB,-2.31988915887166e+001°)
1.98166255423943e+002	(5.55579888122582e+000dB,-2.37086811728558e+001°)
2.02735915737921e+002	(5.53506291980213e+000dB,-2.42285743983668e+001°)
2.07410951184211e+002	(5.51344413769866e+000dB,-2.47587016705486e+001°)
2.12193791684897e+002	(5.49090861804862e+000dB,-2.52991906670436e+001°)
