v1	Ic(Q1)	Ic(Q2)
7.700000000000028e-002	1.597128e-004	2.229265e-005
7.800000000000028e-002	1.602122e-004	2.179691e-005
7.900000000000028e-002	1.607021e-004	2.131071e-005
8.000000000000028e-002	1.611826e-004	2.083392e-005
8.100000000000028e-002	1.616537e-004	2.036643e-005
8.200000000000028e-002	1.621157e-004	1.990812e-005
8.300000000000028e-002	1.625687e-004	1.945887e-005
8.400000000000028e-002	1.630127e-004	1.901854e-005
8.500000000000028e-002	1.634479e-004	1.858702e-005
8.600000000000029e-002	1.638743e-004	1.816419e-005
8.700000000000029e-002	1.642923e-004	1.774992e-005
8.800000000000029e-002	1.647017e-004	1.734408e-005
8.900000000000029e-002	1.651029e-004	1.694655e-005
9.000000000000029e-002	1.654959e-004	1.655721e-005
9.100000000000029e-002	1.658808e-004	1.617591e-005
9.200000000000029e-002	1.662578e-004	1.580255e-005
9.300000000000029e-002	1.666270e-004	1.543699e-005
9.400000000000029e-002	1.669884e-004	1.507911e-005
9.500000000000029e-002	1.673424e-004	1.472879e-005
9.600000000000029e-002	1.676888e-004	1.438588e-005
9.700000000000029e-002	1.680280e-004	1.405029e-005
9.800000000000030e-002	1.683599e-004	1.372187e-005
9.900000000000030e-002	1.686848e-004	1.340050e-005
1.000000000000003e-001	1.690028e-004	1.308607e-005
1.010000000000003e-001	1.693139e-004	1.277845e-005
1.020000000000003e-001	1.696183e-004	1.247751e-005
1.030000000000003e-001	1.699162e-004	1.218315e-005
1.040000000000003e-001	1.702075e-004	1.189523e-005
1.050000000000003e-001	1.704926e-004	1.161365e-005
1.060000000000003e-001	1.707713e-004	1.133828e-005
1.070000000000003e-001	1.710440e-004	1.106901e-005
1.080000000000003e-001	1.713107e-004	1.080573e-005
1.090000000000003e-001	1.715715e-004	1.054831e-005
1.100000000000003e-001	1.718265e-004	1.029665e-005
1.110000000000003e-001	1.720758e-004	1.005064e-005
1.120000000000003e-001	1.723196e-004	9.810166e-006
1.130000000000003e-001	1.725580e-004	9.575120e-006
1.140000000000003e-001	1.727910e-004	9.345395e-006
1.150000000000003e-001	1.730187e-004	9.120886e-006
1.160000000000003e-001	1.732414e-004	8.901487e-006
1.170000000000003e-001	1.734590e-004	8.687098e-006
1.180000000000003e-001	1.736717e-004	8.477615e-006
1.190000000000003e-001	1.738795e-004	8.272938e-006
1.200000000000003e-001	1.740826e-004	8.072971e-006
1.210000000000003e-001	1.742811e-004	7.877614e-006
1.220000000000003e-001	1.744751e-004	7.686773e-006
1.230000000000003e-001	1.746646e-004	7.500353e-006
1.240000000000003e-001	1.748498e-004	7.318262e-006
1.250000000000003e-001	1.750307e-004	7.140408e-006
1.260000000000003e-001	1.752074e-004	6.966701e-006
1.270000000000003e-001	1.753801e-004	6.797055e-006
1.280000000000003e-001	1.755487e-004	6.631380e-006
1.290000000000003e-001	1.757135e-004	6.469592e-006
1.300000000000003e-001	1.758744e-004	6.311609e-006
1.310000000000003e-001	1.760316e-004	6.157345e-006
1.320000000000003e-001	1.761851e-004	6.006722e-006
1.330000000000003e-001	1.763351e-004	5.859660e-006
1.340000000000003e-001	1.764815e-004	5.716079e-006
1.350000000000003e-001	1.766245e-004	5.575904e-006
1.360000000000003e-001	1.767642e-004	5.439060e-006
1.370000000000003e-001	1.769005e-004	5.305471e-006
1.380000000000003e-001	1.770337e-004	5.175068e-006
1.390000000000003e-001	1.771637e-004	5.047777e-006
1.400000000000003e-001	1.772907e-004	4.923528e-006
1.410000000000003e-001	1.774147e-004	4.802255e-006
1.420000000000003e-001	1.775357e-004	4.683889e-006
1.430000000000003e-001	1.776539e-004	4.568365e-006
1.440000000000003e-001	1.777693e-004	4.455619e-006
1.450000000000003e-001	1.778819e-004	4.345586e-006
1.460000000000003e-001	1.779919e-004	4.238206e-006
1.470000000000003e-001	1.780993e-004	4.133417e-006
1.480000000000003e-001	1.782041e-004	4.031160e-006
1.490000000000003e-001	1.783064e-004	3.931377e-006
1.500000000000003e-001	1.784062e-004	3.834010e-006
1.510000000000003e-001	1.785037e-004	3.739005e-006
1.520000000000003e-001	1.785989e-004	3.646306e-006
1.530000000000003e-001	1.786918e-004	3.555859e-006
1.540000000000003e-001	1.787824e-004	3.467613e-006
1.550000000000003e-001	1.788709e-004	3.381515e-006
1.560000000000003e-001	1.789573e-004	3.297516e-006
1.570000000000003e-001	1.790416e-004	3.215566e-006
1.580000000000003e-001	1.791239e-004	3.135618e-006
1.590000000000003e-001	1.792042e-004	3.057624e-006
1.600000000000003e-001	1.792825e-004	2.981538e-006
1.610000000000003e-001	1.793590e-004	2.907315e-006
1.620000000000003e-001	1.794337e-004	2.834911e-006
1.630000000000003e-001	1.795065e-004	2.764283e-006
1.640000000000003e-001	1.795776e-004	2.695389e-006
1.650000000000003e-001	1.796470e-004	2.628188e-006
1.660000000000003e-001	1.797147e-004	2.562638e-006
