Time (s),Channel 1 (V),Channel 2 (V)
-0.00416375,-0.856281368,-1.661750946
-0.0041625,-0.852446767,-1.653607235
-0.00416125,-0.848419196,-1.6455125
-0.00416,-0.844477843,-1.637365903
-0.00415875,-0.840015804,-1.628312051
-0.0041575,-0.835607039,-1.619873796
-0.00415625,-0.831094208,-1.610528395
-0.004155,-0.827020906,-1.6026688
-0.00415375,-0.822634529,-1.593653165
-0.0041525,-0.818014566,-1.58441061
-0.00415125,-0.813615582,-1.576240597
-0.00415,-0.80917826,-1.567032248
-0.00414875,-0.804744542,-1.55764757
-0.0041475,-0.799690784,-1.547807569
-0.00414625,-0.79485681,-1.538423023
-0.004145,-0.790185873,-1.528576724
-0.00414375,-0.785464403,-1.519298076
-0.0041425,-0.780575664,-1.509401805
-0.00414125,-0.775731234,-1.499587748
-0.00414,-0.770761131,-1.489695791
-0.00413875,-0.765407618,-1.479254326
-0.0041375,-0.760623081,-1.468991613
-0.00413625,-0.755650829,-1.459498873
-0.004135,-0.750218775,-1.448732767
-0.00413375,-0.745229098,-1.438164759
-0.0041325,-0.740088102,-1.428196489
-0.00413125,-0.734758338,-1.417442649
-0.00413,-0.729280518,-1.406073361
-0.00412875,-0.723731624,-1.395651481
-0.0041275,-0.718512271,-1.385925362
-0.00412625,-0.713039713,-1.374264812
-0.004125,-0.707455757,-1.36283449
-0.00412375,-0.701706683,-1.351012688
-0.0041225,-0.696117827,-1.340432305
-0.00412125,-0.690474804,-1.329378075
-0.00412,-0.685105776,-1.318617479
-0.00411875,-0.679504987,-1.306805271
-0.0041175,-0.673826767,-1.295353959
-0.00411625,-0.667853736,-1.283750318
-0.004115,-0.661643527,-1.271152164
-0.00411375,-0.655925613,-1.260305205
-0.0041125,-0.649887982,-1.247745819
-0.00411125,-0.643753302,-1.236047339
-0.00411,-0.637864234,-1.224206373
-0.00410875,-0.631900052,-1.212156878
-0.0041075,-0.625982099,-1.200148037
-0.00410625,-0.619738073,-1.187897073
-0.004105,-0.613725399,-1.175503729
