Time (s),Channel 1 (V)
-0.000149226,-1.187387567
-0.000149156,-1.075162545
-0.000149086,-0.95171502
-0.000149016,-0.832008329
-0.000148946,-0.697338303
-0.000148876,-0.558927441
-0.000148806,-0.427998249
-0.000148736,-0.30080989
-0.000148666,-0.151176527
-0.000148596,-0.0165065
-0.000148526,0.114422693
-0.000148456,0.260315222
-0.000148386,0.406207752
-0.000148316,0.555841115
-0.000148246,0.701733644
-0.000148176,0.847626173
-0.000148106,0.989777868
-0.000148036,1.135670397
-0.000147966,1.292785429
-0.000147896,1.438677958
-0.000147826,1.588311321
-0.000147756,1.730463016
-0.000147686,1.876355546
-0.000147616,2.029729743
-0.000147546,2.175622272
-0.000147476,2.32899647
-0.000147406,2.474888999
-0.000147336,2.628263196
-0.000147266,2.770414891
-0.000147196,2.91630742
-0.000147126,3.058459115
-0.000147056,3.196869976
-0.000146986,3.353985008
-0.000146916,3.507359205
-0.000146846,3.660733403
-0.000146776,3.802885098
-0.000146706,3.960000129
-0.000146636,4.113374326
-0.000146566,4.255526022
-0.000146496,4.378973546
-0.000146426,4.483716901
-0.000146356,4.569756084
-0.000146286,4.625868596
-0.000146216,4.681981107
-0.000146146,4.723130282
-0.000146076,4.756797789
-0.000146006,4.775501959
-0.000145936,4.794206129
-0.000145866,4.820391968
-0.000145796,4.824132802
-0.000145726,4.842836972
-0.000145656,4.846577806
-0.000145586,4.842836972
-0.000145516,4.846577806
-0.000145446,4.854059475
-0.000145376,4.857800309
-0.000145306,4.857800309
-0.000145236,4.861541143
-0.000145166,4.865281977
-0.000145096,4.869022811
-0.000145026,4.876504479
-0.000144956,4.876504479
-0.000144886,4.891467815
-0.000144816,4.887726981
-0.000144746,4.89520865
-0.000144676,4.902690318
-0.000144606,4.906431152
-0.000144536,4.910171986
-0.000144466,4.910171986
-0.000144396,4.902690318
-0.000144326,4.902690318
-0.000144256,4.902690318
-0.000144186,4.89520865
-0.000144116,4.891467815
-0.000144046,4.887726981
-0.000143976,4.89520865
-0.000143906,4.891467815
-0.000143836,4.902690318
-0.000143766,4.898949484
-0.000143696,4.898949484
-0.000143626,4.902690318
-0.000143556,4.902690318
-0.000143486,4.898949484
-0.000143416,4.898949484
-0.000143346,4.91391282
-0.000143276,4.902690318
-0.000143206,4.91391282
-0.000143136,4.925135322
-0.000143066,4.921394488
-0.000142996,4.925135322
-0.000142926,4.917653654
-0.000142856,4.91391282
-0.000142786,4.91391282
-0.000142716,4.91391282
-0.000142646,4.925135322
-0.000142576,4.925135322
-0.000142506,4.928876156
-0.000142436,4.936357824
-0.000142366,4.943839493
-0.000142296,4.93261699
-0.000142226,4.940098659
-0.000142156,4.936357824
-0.000142086,4.940098659
-0.000142016,4.93261699
-0.000141946,4.940098659
-0.000141876,4.940098659
-0.000141806,4.936357824
-0.000141736,4.936357824
-0.000141666,4.940098659
-0.000141596,4.936357824
-0.000141526,4.940098659
-0.000141456,4.947580327
-0.000141386,4.943839493
-0.000141316,4.947580327
-0.000141246,4.962543663
-0.000141176,4.962543663
-0.000141106,4.962543663
-0.000141036,4.951321161
-0.000140966,4.947580327
-0.000140896,4.943839493
-0.000140826,4.940098659
-0.000140756,4.936357824
-0.000140686,4.93261699
-0.000140616,4.936357824
-0.000140546,4.951321161
-0.000140476,4.951321161
-0.000140406,4.955061995
-0.000140336,4.958802829
-0.000140266,4.958802829
-0.000140196,4.958802829
-0.000140126,4.966284497
-0.000140056,4.970025331
-0.000139986,4.970025331
-0.000139916,4.966284497
-0.000139846,4.966284497
-0.000139776,4.966284497
-0.000139706,4.962543663
-0.000139636,4.966284497
-0.000139566,4.962543663
-0.000139496,4.958802829
-0.000139426,4.962543663
-0.000139356,4.958802829
-0.000139286,4.955061995
-0.000139216,4.955061995
-0.000139146,4.955061995
-0.000139076,4.951321161
-0.000139006,4.951321161
-0.000138936,4.947580327
-0.000138866,4.947580327
-0.000138796,4.955061995
-0.000138726,4.958802829
-0.000138656,4.962543663
-0.000138586,4.966284497
-0.000138516,4.973766165
-0.000138446,4.973766165
-0.000138376,4.973766165
-0.000138306,4.984988667
-0.000138236,4.988729502
-0.000138166,4.981247833
-0.000138096,4.973766165
-0.000138026,4.977506999
-0.000137956,4.970025331
-0.000137886,4.962543663
-0.000137816,4.955061995
-0.000137746,4.958802829
-0.000137676,4.962543663
-0.000137606,4.970025331
-0.000137536,4.977506999
-0.000137466,4.970025331
-0.000137396,4.970025331
-0.000137326,4.951321161
-0.000137256,4.936357824
-0.000137186,4.917653654
-0.000137116,4.910171986
-0.000137046,4.902690318
-0.000136976,4.891467815
-0.000136906,4.887726981
-0.000136836,4.887726981
-0.000136766,4.883986147
-0.000136696,4.880245313
-0.000136626,4.883986147
-0.000136556,4.872763645
-0.000136486,4.869022811
-0.000136416,4.861541143
-0.000136346,4.846577806
-0.000136276,4.846577806
-0.000136206,4.839096138
-0.000136136,4.827873636
-0.000136066,4.816651134
-0.000135996,4.805428632
-0.000135926,4.764279457
-0.000135856,4.745575286
-0.000135786,4.685721941
-0.000135716,4.592201089
-0.000135646,4.423863555
-0.000135576,4.206895179
-0.000135506,3.974963465
-0.000135436,3.757995089
-0.000135366,3.533545044
-0.000135296,3.312835833
-0.000135226,3.084644954
-0.000135156,2.871417411
-0.000135086,2.661930703
-0.000135016,2.482370667
-0.000134946,2.302810631
-0.000134876,2.138213931
-0.000134806,1.992321402
-0.000134736,1.857651375
-0.000134666,1.745426353
-0.000134596,1.629460496
-0.000134526,1.524717142
-0.000134456,1.408751285
-0.000134386,1.292785429
-0.000134316,1.191782909
-0.000134246,1.090780389
-0.000134176,0.967332864
-0.000134106,0.840144505
-0.000134036,0.71669698
-0.000133966,0.585767787
-0.000133896,0.454838595
-0.000133826,0.33139107
-0.000133756,0.192980209
-0.000133686,0.050828514
-0.000133616,-0.095064015
-0.000133546,-0.23721571
-0.000133476,-0.394330742
-0.000133406,-0.540223271
-0.000133336,-0.693597468
-0.000133266,-0.843230832
-0.000133196,-0.989123361
-0.000133126,-1.138756724
-0.000133056,-1.288390087
-0.000132986,-1.449245953
-0.000132916,-1.598879316
-0.000132846,-1.752253514
-0.000132776,-1.905627711
-0.000132706,-2.066483576
-0.000132636,-2.223598608
-0.000132566,-2.373231971
-0.000132496,-2.522865334
-0.000132426,-2.691202868
-0.000132356,-2.837095397
-0.000132286,-2.994210429
-0.000132216,-3.143843792
-0.000132146,-3.304699657
-0.000132076,-3.458073855
-0.000132006,-3.596484716
-0.000131936,-3.753599747
-0.000131866,-3.899492276
-0.000131796,-4.052866474
-0.000131726,-4.202499837
-0.000131656,-4.325947362
-0.000131586,-4.441913218
-0.000131516,-4.527952402
-0.000131446,-4.59902825
-0.000131376,-4.651399927
-0.000131306,-4.688808268
-0.000131236,-4.71873494
-0.000131166,-4.744920779
-0.000131096,-4.759884115
-0.000131026,-4.774847451
-0.000130956,-4.793551622
-0.000130886,-4.808514958
-0.000130816,-4.81973746
-0.000130746,-4.81973746
-0.000130676,-4.823478295
-0.000130606,-4.830959963
-0.000130536,-4.834700797
-0.000130466,-4.845923299
-0.000130396,-4.849664133
-0.000130326,-4.853404967
-0.000130256,-4.853404967
-0.000130186,-4.857145801
-0.000130116,-4.853404967
-0.000130046,-4.857145801
-0.000129976,-4.872109138
-0.000129906,-4.875849972
-0.000129836,-4.868368304
-0.000129766,-4.872109138
-0.000129696,-4.875849972
-0.000129626,-4.879590806
-0.000129556,-4.879590806
-0.000129486,-4.875849972
-0.000129416,-4.88333164
-0.000129346,-4.88333164
-0.000129276,-4.88333164
-0.000129206,-4.879590806
-0.000129136,-4.887072474
-0.000129066,-4.894554142
-0.000128996,-4.894554142
-0.000128926,-4.890813308
-0.000128856,-4.894554142
-0.000128786,-4.894554142
-0.000128716,-4.894554142
-0.000128646,-4.894554142
-0.000128576,-4.90203581
-0.000128506,-4.898294976
-0.000128436,-4.90203581
-0.000128366,-4.898294976
-0.000128296,-4.905776644
-0.000128226,-4.909517478
-0.000128156,-4.905776644
-0.000128086,-4.909517478
-0.000128016,-4.90203581
-0.000127946,-4.90203581
-0.000127876,-4.90203581
-0.000127806,-4.90203581
-0.000127736,-4.898294976
-0.000127666,-4.898294976
-0.000127596,-4.90203581
-0.000127526,-4.898294976
-0.000127456,-4.905776644
-0.000127386,-4.905776644
-0.000127316,-4.905776644
-0.000127246,-4.90203581
-0.000127176,-4.905776644
-0.000127106,-4.905776644
-0.000127036,-4.905776644
-0.000126966,-4.905776644
-0.000126896,-4.90203581
-0.000126826,-4.905776644
-0.000126756,-4.913258313
-0.000126686,-4.913258313
-0.000126616,-4.913258313
-0.000126546,-4.90203581
-0.000126476,-4.90203581
-0.000126406,-4.90203581
-0.000126336,-4.905776644
-0.000126266,-4.913258313
-0.000126196,-4.920739981
-0.000126126,-4.916999147
-0.000126056,-4.916999147
-0.000125986,-4.920739981
-0.000125916,-4.920739981
-0.000125846,-4.924480815
-0.000125776,-4.928221649
-0.000125706,-4.920739981
-0.000125636,-4.931962483
-0.000125566,-4.924480815
-0.000125496,-4.924480815
-0.000125426,-4.928221649
-0.000125356,-4.924480815
-0.000125286,-4.920739981
-0.000125216,-4.931962483
-0.000125146,-4.935703317
-0.000125076,-4.931962483
-0.000125006,-4.939444151
-0.000124936,-4.939444151
-0.000124866,-4.935703317
-0.000124796,-4.939444151
-0.000124726,-4.939444151
-0.000124656,-4.935703317
-0.000124586,-4.935703317
-0.000124516,-4.939444151
-0.000124446,-4.946925819
-0.000124376,-4.946925819
-0.000124306,-4.943184985
-0.000124236,-4.943184985
-0.000124166,-4.939444151
-0.000124096,-4.946925819
-0.000124026,-4.943184985
-0.000123956,-4.946925819
-0.000123886,-4.950666653
-0.000123816,-4.950666653
-0.000123746,-4.954407487
-0.000123676,-4.954407487
-0.000123606,-4.954407487
-0.000123536,-4.954407487
-0.000123466,-4.954407487
-0.000123396,-4.954407487
-0.000123326,-4.950666653
-0.000123256,-4.943184985
-0.000123186,-4.943184985
-0.000123116,-4.943184985
-0.000123046,-4.939444151
-0.000122976,-4.928221649
-0.000122906,-4.928221649
-0.000122836,-4.928221649
-0.000122766,-4.928221649
-0.000122696,-4.924480815
-0.000122626,-4.920739981
-0.000122556,-4.916999147
-0.000122486,-4.90203581
-0.000122416,-4.90203581
-0.000122346,-4.90203581
-0.000122276,-4.898294976
-0.000122206,-4.890813308
-0.000122136,-4.879590806
-0.000122066,-4.864627469
-0.000121996,-4.860886635
-0.000121926,-4.864627469
-0.000121856,-4.860886635
-0.000121786,-4.857145801
-0.000121716,-4.849664133
-0.000121646,-4.853404967
-0.000121576,-4.845923299
-0.000121506,-4.834700797
-0.000121436,-4.834700797
-0.000121366,-4.812255792
-0.000121296,-4.793551622
-0.000121226,-4.774847451
-0.000121156,-4.744920779
-0.000121086,-4.681326599
-0.000121016,-4.587805747
-0.000120946,-4.400764043
-0.000120876,-4.176313998
-0.000120806,-3.951863954
-0.000120736,-3.734895577
-0.000120666,-3.514186366
-0.000120596,-3.300958823
-0.000120526,-3.087731281
-0.000120456,-2.889467074
-0.000120386,-2.698684536
-0.000120316,-2.541569505
-0.000120246,-2.388195307
-0.000120176,-2.242302778
-0.000120106,-2.115114419
-0.000120036,-1.995407729
-0.000119966,-1.890664375
-0.000119896,-1.782180186
-0.000119826,-1.673695998
-0.000119756,-1.568952644
-0.000119686,-1.460468455
-0.000119616,-1.348243433
-0.000119546,-1.243500078
-0.000119476,-1.13501589
-0.000119406,-1.022790868
-0.000119336,-0.899343343
-0.000119266,-0.775895818
-0.000119196,-0.648707459
-0.000119126,-0.517778267
-0.000119056,-0.386849074
-0.000118986,-0.255919881
-0.000118916,-0.110027352
-0.000118846,0.028383509
-0.000118776,0.174276039
-0.000118706,0.3126869
-0.000118636,0.454838595
-0.000118566,0.59699029
-0.000118496,0.739141985
-0.000118426,0.885034514
-0.000118356,1.030927043
-0.000118286,1.180560406
-0.000118216,1.341416272
-0.000118146,1.487308801
-0.000118076,1.63320133
-0.000118006,1.782834694
-0.000117936,1.928727223
-0.000117866,2.093323922
-0.000117796,2.242957286
-0.000117726,2.377627313
-0.000117656,2.538483178
-0.000117586,2.680634873
-0.000117516,2.826527402
-0.000117446,2.968679097
-0.000117376,3.118312461
-0.000117306,3.267945824
-0.000117236,3.417579187
-0.000117166,3.563471716
-0.000117096,3.71310508
-0.000117026,3.870220111
-0.000116956,4.023594309
-0.000116886,4.169486838
-0.000116816,4.307897699
-0.000116746,4.427604389
-0.000116676,4.52860691
-0.000116606,4.599682757
-0.000116536,4.655795268
-0.000116466,4.693203609
-0.000116396,4.734352784
-0.000116326,4.768020291
-0.000116256,4.779242793
-0.000116186,4.794206129
-0.000116116,4.816651134
-0.000116046,4.827873636
-0.000115976,4.842836972
-0.000115906,4.850318641
-0.000115836,4.846577806
-0.000115766,4.861541143
-0.000115696,4.861541143
-0.000115626,4.869022811
-0.000115556,4.872763645
-0.000115486,4.880245313
-0.000115416,4.880245313
-0.000115346,4.876504479
-0.000115276,4.876504479
-0.000115206,4.880245313
-0.000115136,4.880245313
-0.000115066,4.880245313
-0.000114996,4.887726981
-0.000114926,4.89520865
-0.000114856,4.898949484
-0.000114786,4.906431152
-0.000114716,4.91391282
-0.000114646,4.902690318
-0.000114576,4.89520865
-0.000114506,4.89520865
-0.000114436,4.887726981
-0.000114366,4.887726981
-0.000114296,4.89520865
-0.000114226,4.891467815
-0.000114156,4.89520865
-0.000114086,4.902690318
-0.000114016,4.898949484
-0.000113946,4.902690318
-0.000113876,4.902690318
-0.000113806,4.902690318
-0.000113736,4.89520865
-0.000113666,4.898949484
-0.000113596,4.898949484
-0.000113526,4.906431152
-0.000113456,4.910171986
-0.000113386,4.91391282
-0.000113316,4.917653654
-0.000113246,4.921394488
-0.000113176,4.925135322
-0.000113106,4.917653654
-0.000113036,4.917653654
-0.000112966,4.910171986
-0.000112896,4.91391282
-0.000112826,4.91391282
-0.000112756,4.910171986
-0.000112686,4.91391282
-0.000112616,4.917653654
-0.000112546,4.921394488
-0.000112476,4.925135322
-0.000112406,4.93261699
-0.000112336,4.936357824
-0.000112266,4.93261699
-0.000112196,4.940098659
-0.000112126,4.943839493
-0.000112056,4.940098659
-0.000111986,4.940098659
-0.000111916,4.943839493
-0.000111846,4.943839493
-0.000111776,4.943839493
-0.000111706,4.943839493
-0.000111636,4.943839493
-0.000111566,4.936357824
-0.000111496,4.936357824
-0.000111426,4.928876156
-0.000111356,4.93261699
-0.000111286,4.940098659
-0.000111216,4.93261699
-0.000111146,4.936357824
-0.000111076,4.928876156
-0.000111006,4.940098659
-0.000110936,4.940098659
-0.000110866,4.943839493
-0.000110796,4.943839493
-0.000110726,4.940098659
-0.000110656,4.955061995
-0.000110586,4.951321161
-0.000110516,4.947580327
-0.000110446,4.947580327
-0.000110376,4.951321161
-0.000110306,4.951321161
-0.000110236,4.951321161
-0.000110166,4.951321161
-0.000110096,4.947580327
-0.000110026,4.951321161
-0.000109956,4.958802829
-0.000109886,4.958802829
-0.000109816,4.962543663
-0.000109746,4.966284497
-0.000109676,4.966284497
-0.000109606,4.973766165
-0.000109536,4.966284497
-0.000109466,4.970025331
-0.000109396,4.962543663
-0.000109326,4.966284497
-0.000109256,4.970025331
-0.000109186,4.962543663
-0.000109116,4.973766165
-0.000109046,4.966284497
-0.000108976,4.973766165
-0.000108906,4.977506999
-0.000108836,4.970025331
-0.000108766,4.977506999
-0.000108696,4.962543663
-0.000108626,4.966284497
-0.000108556,4.970025331
-0.000108486,4.981247833
-0.000108416,4.981247833
-0.000108346,4.981247833
-0.000108276,4.984988667
-0.000108206,4.984988667
-0.000108136,4.984988667
-0.000108066,4.984988667
-0.000107996,4.984988667
-0.000107926,4.981247833
-0.000107856,4.970025331
-0.000107786,4.962543663
-0.000107716,4.955061995
-0.000107646,4.947580327
-0.000107576,4.93261699
-0.000107506,4.917653654
-0.000107436,4.910171986
-0.000107366,4.910171986
-0.000107296,4.89520865
-0.000107226,4.891467815
-0.000107156,4.89520865
-0.000107086,4.891467815
-0.000107016,4.891467815
-0.000106946,4.887726981
-0.000106876,4.883986147
-0.000106806,4.872763645
-0.000106736,4.865281977
-0.000106666,4.857800309
-0.000106596,4.850318641
-0.000106526,4.839096138
-0.000106456,4.839096138
-0.000106386,4.816651134
-0.000106316,4.805428632
-0.000106246,4.790465295
-0.000106176,4.764279457
-0.000106106,4.734352784
-0.000106036,4.674499439
-0.000105966,4.539829412
-0.000105896,4.352787708
-0.000105826,4.135819331
-0.000105756,3.907628452
-0.000105686,3.671955905
-0.000105616,3.443765026
-0.000105546,3.219314981
-0.000105476,2.994864936
-0.000105406,2.777896559
-0.000105336,2.575891519
-0.000105266,2.392590649
-0.000105196,2.220512281
-0.000105126,2.070878918
-0.000105056,1.924986389
-0.000104986,1.794057196
-0.000104916,1.670609671
-0.000104846,1.558384649
-0.000104776,1.468604631
-0.000104706,1.363861276
-0.000104636,1.262858756
-0.000104566,1.1468929
-0.000104496,1.030927043
-0.000104426,0.911220353
-0.000104356,0.791513662
-0.000104286,0.671806971
-0.000104216,0.544618613
-0.000104146,0.409948586
-0.000104076,0.279019393
-0.000104006,0.133126864
-0.000103936,-0.0165065
-0.000103866,-0.166139863
-0.000103796,-0.323254894
-0.000103726,-0.472888258
-0.000103656,-0.618780787
-0.000103586,-0.772154984
-0.000103516,-0.925529181
-0.000103446,-1.071421711
-0.000103376,-1.21731424
-0.000103306,-1.370688437
-0.000103236,-1.5203218
-0.000103166,-1.669955164
-0.000103096,-1.823329361
-0.000103026,-1.980444393
-0.000102956,-2.137559424
-0.000102886,-2.290933621
-0.000102816,-2.440566985
-0.000102746,-2.593941182
-0.000102676,-2.743574545
-0.000102606,-2.908171245
-0.000102536,-3.061545442
-0.000102466,-3.218660474
-0.000102396,-3.368293837
-0.000102326,-3.529149702
-0.000102256,-3.678783066
-0.000102186,-3.839638931
-0.000102116,-3.981790626
-0.000102046,-4.127683155
-0.000101976,-4.262353182
-0.000101906,-4.370837371
-0.000101836,-4.479321559
-0.000101766,-4.561619909
-0.000101696,-4.628954922
-0.000101626,-4.681326599
-0.000101556,-4.711253272
-0.000101486,-4.733698277
-0.000101416,-4.756143281
-0.000101346,-4.778588286
-0.000101276,-4.786069954
-0.000101206,-4.797292456
-0.000101136,-4.812255792
-0.000101066,-4.815996626
-0.000100996,-4.827219129
-0.000100926,-4.834700797
-0.000100856,-4.842182465
