Freq.	V(v0)
3.34774581070575e+003	(1.57139690546852e+001dB,-1.68413195755339e+001°)
3.42494392468202e+003	(1.56970019915641e+001dB,-1.72069898675115e+001°)
3.50392220631093e+003	(1.56793141071184e+001dB,-1.75796031850621e+001°)
3.58472170577762e+003	(1.56608778976243e+001dB,-1.79592271585740e+001°)
3.66738441987343e+003	(1.56416650770193e+001dB,-1.83459258134303e+001°)
3.75195331382434e+003	(1.56216465777237e+001dB,-1.87397592606596e+001°)
3.83847234362283e+003	(1.56007925555710e+001dB,-1.91407833812859e+001°)
3.92698647887472e+003	(1.55790723927736e+001dB,-1.95490494908977e+001°)
4.01754172617275e+003	(1.55564547089576e+001dB,-1.99646040070100e+001°)
4.11018515300930e+003	(1.55329073712086e+001dB,-2.03874880992498e+001°)
4.20496491224038e+003	(1.55083975081268e+001dB,-2.08177373338844e+001°)
4.30193026711388e+003	(1.54828915274487e+001dB,-2.12553813123462e+001°)
4.40113161687483e+003	(1.54563551374332e+001dB,-2.17004433050742e+001°)
4.50262052296129e+003	(1.54287533718851e+001dB,-2.21529398812408e+001°)
4.60644973580411e+003	(1.54000506192875e+001dB,-2.26128805366011e+001°)
4.71267322224485e+003	(1.53702106516998e+001dB,-2.30802673085365e+001°)
4.82134619358584e+003	(1.53391966688162e+001dB,-2.35550944219263e+001°)
4.93252513428714e+003	(1.53069713302644e+001dB,-2.40373478931658e+001°)
5.04626783132518e+003	(1.52734968072352e+001dB,-2.45270051801828e+001°)
5.16263340422848e+003	(1.52387348296483e+001dB,-2.50240348140253e+001°)
5.28168233580590e+003	(1.52026467431829e+001dB,-2.55283960550190e+001°)
5.40347650358354e+003	(1.51651935646846e+001dB,-2.60400385413599e+001°)
5.52807921196651e+003	(1.51263360501300e+001dB,-2.65589019762289e+001°)
5.65555522514245e+003	(1.50860347589167e+001dB,-2.70849158055375e+001°)
5.78597080074362e+003	(1.50442501328714e+001dB,-2.76179989482817e+001°)
5.91939372428541e+003	(1.50009425676430e+001dB,-2.81580595093801e+001°)
6.05589334439888e+003	(1.49560724987985e+001dB,-2.87049945522436e+001°)
6.19554060887576e+003	(1.49096004868894e+001dB,-2.92586898823041e+001°)
6.33840810154473e+003	(1.48614873086189e+001dB,-2.98190198692421e+001°)
6.48457007999792e+003	(1.48116940504838e+001dB,-3.03858472990413e+001°)
6.63410251418748e+003	(1.47601822054235e+001dB,-3.09590232612844e+001°)
6.78708312591215e+003	(1.47069137752642e+001dB,-3.15383870868837e+001°)
6.94359142921434e+003	(1.46518513735944e+001dB,-3.21237663200390e+001°)
7.10370877170878e+003	(1.45949583306537e+001dB,-3.27149767340779e+001°)
7.26751837686424e+003	(1.45361988013937e+001dB,-3.33118224004062e+001°)
7.43510538726020e+003	(1.44755378732810e+001dB,-3.39140958007011e+001°)
7.60655690884100e+003	(1.44129416769871e+001dB,-3.45215779999325e+001°)
7.78196205619054e+003	(1.43483774926960e+001dB,-3.51340388523607e+001°)
7.96141199885094e+003	(1.42818138611753e+001dB,-3.57512372847597e+001°)
8.14500000870935e+003	(1.42132206887177e+001dB,-3.63729216119010e+001°)
8.33282150847742e+003	(1.41425693550274e+001dB,-3.69988299293565e+001°)
8.52497412128875e+003	(1.40698328097022e+001dB,-3.76286905179464e+001°)
8.72155772144005e+003	(1.39949856769520e+001dB,-3.82622223579341e+001°)
8.92267448630230e+003	(1.39180043460253e+001dB,-3.88991356452357e+001°)
9.12842894942908e+003	(1.38388670611847e+001dB,-3.95391323787336e+001°)
9.33892805488945e+003	(1.37575540069339e+001dB,-4.01819070000452e+001°)
9.55428121285382e+003	(1.36740473831432e+001dB,-4.08271470570737e+001°)
9.77460035646159e+003	(1.35883314762618e+001dB,-4.14745339244032e+001°)
1.00000000000001e+004	(1.35003927232827e+001dB,-4.21237435631442e+001°)
1.02305972984252e+004	(1.34102197650231e+001dB,-4.27744472986674e+001°)
1.04665121082544e+004	(1.33178034926391e+001dB,-4.34263126365704e+001°)
1.07078670498640e+004	(1.32231370865728e+001dB,-4.40790041111736e+001°)
1.09547875712234e+004	(1.31262160415462e+001dB,-4.47321841232701e+001°)
1.12074020130979e+004	(1.30270381886834e+001dB,-4.53855138326489e+001°)
1.14658416757563e+004	(1.29256037029054e+001dB,-4.60386540268856e+001°)
