Freq.	V(v0)
2.54648190254672e+000	-4.51849692032673e-008,-4.67053815603541e-010
2.60520308726828e+000	-4.51849692518239e-008,-4.77823950413188e-010
2.66527836664556e+000	-4.51849693142539e-008,-4.88842441621900e-010
2.72673896573549e+000	-4.51849693801521e-008,-5.00115016261153e-010
2.78961682963639e+000	-4.51849694495187e-008,-5.11647533426212e-010
2.85394464009192e+000	-4.51849695119487e-008,-5.23445987321498e-010
2.91975583247791e+000	-4.51849695813153e-008,-5.35516510376151e-010
2.98708461318094e+000	-4.51849696506819e-008,-5.47865376431502e-010
3.05596597737761e+000	-4.51849697339218e-008,-5.60499004001939e-010
3.12643572722383e+000	-4.51849698171617e-008,-5.73423959611063e-010
3.19853049046358e+000	-4.51849699004016e-008,-5.86646961204757e-010
3.27228773946670e+000	-4.51849699836415e-008,-6.00174881642897e-010
3.34774581070575e+000	-4.51849700772865e-008,-6.14014752271660e-010
3.42494392468202e+000	-4.51849701778680e-008,-6.28173766578162e-010
3.50392220631093e+000	-4.51849702749813e-008,-6.42659283929402e-010
3.58472170577762e+000	-4.51849703824995e-008,-6.57478833397363e-010
3.66738441987343e+000	-4.51849705004227e-008,-6.72640117672430e-010
3.75195331382434e+000	-4.51849706079409e-008,-6.88151017066935e-010
3.83847234362283e+000	-4.51849707328008e-008,-7.04019593611067e-010
3.92698647887472e+000	-4.51849708576607e-008,-7.20254095243279e-010
4.01754172617275e+000	-4.51849709859889e-008,-7.36862960097234e-010
4.11018515300930e+000	-4.51849711385954e-008,-7.53854820887683e-010
4.20496491224039e+000	-4.51849712807969e-008,-7.71238509397463e-010
4.30193026711388e+000	-4.51849714438084e-008,-7.89023061067916e-010
4.40113161687483e+000	-4.51849715998833e-008,-8.07217719695229e-010
4.50262052296129e+000	-4.51849717559581e-008,-8.25831942235055e-010
4.60644973580411e+000	-4.51849719432479e-008,-8.44875403717825e-010
4.71267322224485e+000	-4.51849721270694e-008,-8.64358002277628e-010
4.82134619358584e+000	-4.51849723178276e-008,-8.84289864296805e-010
4.93252513428714e+000	-4.51849725224590e-008,-9.04681349669380e-010
5.04626783132518e+000	-4.51849727305588e-008,-9.25543057185688e-010
5.16263340422848e+000	-4.51849729594686e-008,-9.46885830041312e-010
5.28168233580590e+000	-4.51849731883784e-008,-9.68720761473053e-010
5.40347650358354e+000	-4.51849734311615e-008,-9.91059200524682e-010
5.52807921196652e+000	-4.51849736878179e-008,-1.01391275794588e-009
5.65555522514245e+000	-4.51849739514109e-008,-1.03729331222711e-009
5.78597080074363e+000	-4.51849742288773e-008,-1.06121301577356e-009
5.91939372428542e+000	-4.51849745236854e-008,-1.08568430122164e-009
6.05589334439888e+000	-4.51849748288984e-008,-1.11071988790098e-009
6.19554060887576e+000	-4.51849751445164e-008,-1.13633278844551e-009
6.33840810154473e+000	-4.51849754774761e-008,-1.16253631555700e-009
6.48457007999792e+000	-4.51849758277774e-008,-1.18934408892452e-009
6.63410251418748e+000	-4.51849761988887e-008,-1.21677004230348e-009
6.78708312591215e+000	-4.51849765769367e-008,-1.24482843075793e-009
6.94359142921434e+000	-4.51849769757946e-008,-1.27353383806983e-009
7.10370877170878e+000	-4.51849773919942e-008,-1.30290118431928e-009
7.26751837686424e+000	-4.51849778290038e-008,-1.33294573363927e-009
7.43510538726020e+000	-4.51849782937600e-008,-1.36368310214973e-009
